threshold,precision,recall,f1,flagged_rate,expected_cost_per_1000,tp,fp,fn,tn
0.01,0.0873780668046113,0.9827127659574468,0.16048645420489713,0.7517777777777778,697.6444444444444,1478,15437,26,5559
0.02,0.12379618280511294,0.9401595744680851,0.21878384651090824,0.5076444444444445,484.8,1414,10008,90,10988
0.03,0.14216394796613668,0.9155585106382979,0.24611260053619302,0.43048888888888887,425.73333333333335,1377,8309,127,12687
0.04,0.15195303680289005,0.8949468085106383,0.2597954062922216,0.39368888888888887,404.0888888888889,1346,7512,158,13484
0.05,0.18119364534134821,0.8417553191489362,0.298198092097515,0.31053333333333333,360.0444444444444,1266,5721,238,15275
0.06,0.2038623005877414,0.8071808510638298,0.32551280332484245,0.26466666666666666,339.6,1214,4741,290,16255
0.07,0.2038623005877414,0.8071808510638298,0.32551280332484245,0.26466666666666666,339.6,1214,4741,290,16255
0.08,0.22169271826153258,0.7732712765957447,0.3445925925925926,0.23315555555555556,333.02222222222224,1163,4083,341,16913
0.09,0.24701643773924792,0.7293882978723404,0.3690496215306981,0.1973777777777778,329.51111111111106,1097,3344,407,17652
0.1,0.27122641509433965,0.6881648936170213,0.3890977443609023,0.1696,332.0444444444444,1035,2781,469,18215
0.11,0.27122641509433965,0.6881648936170213,0.3890977443609023,0.1696,332.0444444444444,1035,2781,469,18215
0.12,0.31247942048073757,0.6309840425531915,0.41796961021801365,0.13497777777777778,339.4666666666667,949,2088,555,18908
0.13,0.31247942048073757,0.6309840425531915,0.41796961021801365,0.13497777777777778,339.4666666666667,949,2088,555,18908
0.14,0.3455824863174355,0.5877659574468085,0.43525356967011325,0.1136888888888889,349.9555555555556,884,1674,620,19322
0.15,0.3455824863174355,0.5877659574468085,0.43525356967011325,0.1136888888888889,349.9555555555556,884,1674,620,19322
0.16,0.3455824863174355,0.5877659574468085,0.43525356967011325,0.1136888888888889,349.9555555555556,884,1674,620,19322
0.17,0.36665211697948497,0.5585106382978723,0.4426877470355731,0.10182222222222222,359.59999999999997,840,1451,664,19545
0.18,0.36665211697948497,0.5585106382978723,0.4426877470355731,0.10182222222222222,359.59999999999997,840,1451,664,19545
