risk_grade,borrowers,borrower_share,defaults,observed_default_rate,avg_pd,min_score,avg_score,max_score,lift_vs_portfolio
E,6363,0.16968,1724,0.27094137985227096,0.27144357592680146,300.0,465.1185995153615,534.4259346273877,4.052772933570068
D,5185,0.13826666666666668,367,0.0707810993249759,0.07269683513336454,543.0433353402997,569.8539451066416,597.8544300331761,1.0587519843185464
C,7440,0.1984,238,0.03198924731182796,0.033284745870018485,603.1732046976553,630.5101724370378,659.9544338333955,0.47849891272179834
B,9212,0.24565333333333333,130,0.01411202778983934,0.011671987654458356,666.3555413497393,705.0979472839203,715.3714262596125,0.21108936662105116
A,9300,0.248,48,0.005161290322580645,0.0046269980769335015,737.1744019894593,781.3578501649581,850.0,0.07720318591813889
